"ID","SPECTROID","SPECTROIDPAPER","SPECTROTYPE","BCODE","BTYPE","AVAILABLE","REGUSER","REGDATE"
"1","1218","1219","990","MA19NNNNN08FW","MA","0","20201111","2020-12-09 10:25:24.129"
"2","1220","1221","990","MA19NNNNN02FW","MA","0","12345678","2020-12-10 17:07:09.347"
"3","1222",\N,"990","MA19NNNNN02FW","MA","0","12345678","2020-12-10 17:07:37.494"
"4","1223","1224","990","MA19NNNNN02FW","MA","0","12345678","2020-12-14 13:09:33.724"
"5","1225","1226","990","MAFNNNNNN02FW","MA","1","20201111","2021-01-13 17:24:30.348"
"6","1227","1228","990","MAFNNNNNN04FW","MA","1","20201111","2021-01-13 17:27:15.385"
"7","1229","1230","990","MAFNNNNNN08FW","MA","1","20201111","2021-01-13 17:27:54.334"
"8","1231","1232","990","MAFNNNNNN10FW","MA","1","20201111","2021-01-13 17:28:27.526"
"9","1233","1234","990","MAFNNNNNN16FW","MA","1","20201111","2021-01-13 17:29:26.463"
"10","1235","1236","990","MAFNNNNNN20FW","MA","1","20201111","2021-01-13 17:29:50.349"
"11","1237","1238","990","MAFNNNNNN30FW","MA","1","20201111","2021-01-13 17:30:27.179"
"12","1239","1240","990","MAFNNNNNN32FW","MA","1","20201111","2021-01-13 17:30:54.811"
"13","1241","1242","990","MAFNNNNNN40FW","MA","1","20201111","2021-01-13 17:31:29.801"
"14","1243","1244","990","MAFNNNNNN50FW","MA","1","20201111","2021-01-13 17:31:58.415"
"15","1245","1246","990","MAFNNNNNN60FW","MA","1","20201111","2021-01-13 17:32:38.879"
"16","1247","1248","990","MAFNNNNNN64FW","MA","1","20201111","2021-01-13 17:33:05.152"
"17","1249","1250","990","MAFNNNNNN70FW","MA","1","20201111","2021-01-13 17:33:45.252"
"18","1251","1252","990","MAFNNNNNN80FW","MA","1","20201111","2021-01-13 17:34:02.395"
"19","1253","1254","990","MAFNNNNNN90FW","MA","1","20201111","2021-01-13 17:34:34.531"
"20","1255","1256","990","MAFNNNNNNFFFW","MA","1","20201111","2021-01-13 17:34:52.154"
"21","1257","1258","990","MANFNNNNN02FW","MA","1","20201111","2021-01-13 17:35:46.16"
"22","1259","1260","990","MANFNNNNN04FW","MA","1","20201111","2021-01-13 17:36:12.143"
"23","1261","1262","990","MANFNNNNN08FW","MA","1","20201111","2021-01-13 17:36:38.735"
"24","1263","1264","990","MANFNNNNN10FW","MA","1","20201111","2021-01-13 17:36:57.149"
"25","1265","1266","990","MANFNNNNN16FW","MA","1","20201111","2021-01-13 17:37:32.06"
"26","1267","1268","990","MANFNNNNN20FW","MA","1","20201111","2021-01-13 17:37:50.998"
"27","1269","1270","990","MANFNNNNN30FW","MA","1","20201111","2021-01-13 17:38:25.499"
"28","1271","1272","990","MANFNNNNN32FW","MA","1","20201111","2021-01-13 17:38:56.938"
"29","1273","1274","990","MANFNNNNN40FW","MA","1","20201111","2021-01-13 17:39:15.832"
"30","1275","1276","990","MANFNNNNN50FW","MA","1","20201111","2021-01-13 17:39:32.544"
"31","1277","1278","990","MANFNNNNN60FW","MA","1","20201111","2021-01-13 17:40:20.951"
"32","1279","1280","990","MANFNNNNN64FW","MA","1","20201111","2021-01-13 17:40:55.141"
"33","1281","1282","990","MANFNNNNN70FW","MA","1","20201111","2021-01-13 17:41:13.095"
"34","1283","1284","990","MANFNNNNN80FW","MA","1","20201111","2021-01-13 17:41:34.79"
"35","1285","1286","990","MANFNNNNN90FW","MA","1","20201111","2021-01-13 17:41:53.729"
"36","1287","1288","990","MANFNNNNNFFFW","MA","1","20201111","2021-01-13 17:42:41.385"
"37","1289","1290","990","MANNFNNNN02FW","MA","1","20201111","2021-01-14 16:40:33.277"
"38","1291","1292","990","MANNFNNNN04FW","MA","1","20201111","2021-01-14 16:41:06.267"
