BCODE,BTYPE,COLOR1N,COLOR1P,COLOR2N,COLOR2P,COLOR3N,COLOR3P,COLOR4N,COLOR4P,COLOR5N,COLOR5P,COLOR6N,COLOR6P,COLOR7N,COLOR7P,INKMEDIUM,INKTYPE,PAPERTYPE
MA19NNNNN02FW,MA,C,1,M,9,Y,N,K,N,N,N,N,N,N,N,2,F,W
MA19NNNNN04FW,MA,C,1,M,9,Y,N,K,N,N,N,N,N,N,N,4,F,W
MA19NNNNN08FW,MA,C,1,M,9,Y,N,K,N,N,N,N,N,N,N,8,F,W
MA19NNNNN16FW,MA,C,1,M,9,Y,N,K,N,N,N,N,N,N,N,16,F,W
MA19NNNNN32FW,MA,C,1,M,9,Y,N,K,N,N,N,N,N,N,N,32,F,W
MA19NNNNN64FW,MA,C,1,M,9,Y,N,K,N,N,N,N,N,N,N,64,F,W
MA19NNNNNFFFW,MA,C,1,M,9,Y,N,K,N,N,N,N,N,N,N,100,F,W
MA1N9NNNN02FW,MA,C,1,M,N,Y,9,K,N,N,N,N,N,N,N,2,F,W
MA1N9NNNN04FW,MA,C,1,M,N,Y,9,K,N,N,N,N,N,N,N,4,F,W
MA1N9NNNN08FW,MA,C,1,M,N,Y,9,K,N,N,N,N,N,N,N,8,F,W
MA1N9NNNN16FW,MA,C,1,M,N,Y,9,K,N,N,N,N,N,N,N,16,F,W
MA1N9NNNN32FW,MA,C,1,M,N,Y,9,K,N,N,N,N,N,N,N,32,F,W
MA1N9NNNN64FW,MA,C,1,M,N,Y,9,K,N,N,N,N,N,N,N,64,F,W
MA1N9NNNNFFFW,MA,C,1,M,N,Y,9,K,N,N,N,N,N,N,N,100,F,W
MA1NN9NNN02FW,MA,C,1,M,N,Y,N,K,9,N,N,N,N,N,N,2,F,W
MA1NN9NNN04FW,MA,C,1,M,N,Y,N,K,9,N,N,N,N,N,N,4,F,W
MA1NN9NNN08FW,MA,C,1,M,N,Y,N,K,9,N,N,N,N,N,N,8,F,W
MA1NN9NNN16FW,MA,C,1,M,N,Y,N,K,9,N,N,N,N,N,N,16,F,W
MA1NN9NNN32FW,MA,C,1,M,N,Y,N,K,9,N,N,N,N,N,N,32,F,W
MA1NN9NNN64FW,MA,C,1,M,N,Y,N,K,9,N,N,N,N,N,N,64,F,W
MA1NN9NNNFFFW,MA,C,1,M,N,Y,N,K,9,N,N,N,N,N,N,100,F,W
MA28NNNNN02FW,MA,C,2,M,8,Y,N,K,N,N,N,N,N,N,N,2,F,W
MA28NNNNN04FW,MA,C,2,M,8,Y,N,K,N,N,N,N,N,N,N,4,F,W
MA28NNNNN08FW,MA,C,2,M,8,Y,N,K,N,N,N,N,N,N,N,8,F,W
MA28NNNNN16FW,MA,C,2,M,8,Y,N,K,N,N,N,N,N,N,N,16,F,W
MA28NNNNN32FW,MA,C,2,M,8,Y,N,K,N,N,N,N,N,N,N,32,F,W
MA28NNNNN64FW,MA,C,2,M,8,Y,N,K,N,N,N,N,N,N,N,64,F,W
MA28NNNNNFFFW,MA,C,2,M,8,Y,N,K,N,N,N,N,N,N,N,100,F,W
MA2N8NNNN02FW,MA,C,2,M,N,Y,8,K,N,N,N,N,N,N,N,2,F,W
MA2N8NNNN04FW,MA,C,2,M,N,Y,8,K,N,N,N,N,N,N,N,4,F,W
MA2N8NNNN08FW,MA,C,2,M,N,Y,8,K,N,N,N,N,N,N,N,8,F,W
MA2N8NNNN16FW,MA,C,2,M,N,Y,8,K,N,N,N,N,N,N,N,16,F,W
MA2N8NNNN32FW,MA,C,2,M,N,Y,8,K,N,N,N,N,N,N,N,32,F,W
MA2N8NNNN64FW,MA,C,2,M,N,Y,8,K,N,N,N,N,N,N,N,64,F,W
MA2N8NNNNFFFW,MA,C,2,M,N,Y,8,K,N,N,N,N,N,N,N,100,F,W
MA2NN8NNN02FW,MA,C,2,M,N,Y,N,K,8,N,N,N,N,N,N,2,F,W
MA2NN8NNN04FW,MA,C,2,M,N,Y,N,K,8,N,N,N,N,N,N,4,F,W
MA2NN8NNN08FW,MA,C,2,M,N,Y,N,K,8,N,N,N,N,N,N,8,F,W
MA2NN8NNN16FW,MA,C,2,M,N,Y,N,K,8,N,N,N,N,N,N,16,F,W
MA2NN8NNN32FW,MA,C,2,M,N,Y,N,K,8,N,N,N,N,N,N,32,F,W
MA2NN8NNN64FW,MA,C,2,M,N,Y,N,K,8,N,N,N,N,N,N,64,F,W
MA2NN8NNNFFFW,MA,C,2,M,N,Y,N,K,8,N,N,N,N,N,N,100,F,W
MA37NNNNN02FW,MA,C,3,M,7,Y,N,K,N,N,N,N,N,N,N,2,F,W
MA37NNNNN04FW,MA,C,3,M,7,Y,N,K,N,N,N,N,N,N,N,4,F,W
MA37NNNNN08FW,MA,C,3,M,7,Y,N,K,N,N,N,N,N,N,N,8,F,W
MA37NNNNN16FW,MA,C,3,M,7,Y,N,K,N,N,N,N,N,N,N,16,F,W
MA37NNNNN32FW,MA,C,3,M,7,Y,N,K,N,N,N,N,N,N,N,32,F,W
MA37NNNNN64FW,MA,C,3,M,7,Y,N,K,N,N,N,N,N,N,N,64,F,W
MA37NNNNNFFFW,MA,C,3,M,7,Y,N,K,N,N,N,N,N,N,N,100,F,W
MA3N7NNNN02FW,MA,C,3,M,N,Y,7,K,N,N,N,N,N,N,N,2,F,W
MA3N7NNNN04FW,MA,C,3,M,N,Y,7,K,N,N,N,N,N,N,N,4,F,W
MA3N7NNNN08FW,MA,C,3,M,N,Y,7,K,N,N,N,N,N,N,N,8,F,W
MA3N7NNNN16FW,MA,C,3,M,N,Y,7,K,N,N,N,N,N,N,N,16,F,W
MA3N7NNNN32FW,MA,C,3,M,N,Y,7,K,N,N,N,N,N,N,N,32,F,W
MA3N7NNNN64FW,MA,C,3,M,N,Y,7,K,N,N,N,N,N,N,N,64,F,W
