"SPECTROID","PKGPAPERCODE","PKGPAPERREV","FILMCODE","TARGETTYPE","SIDE","UNITNUM","INKCODE","PAPERCODE","DOTGAINCODE","REGUSER","REGDATE"
"1","20200508006","0","SV-191015 4","PAPER","0","-1",\N,"1062001040006000685",\N,"00030201","2020-05-20 16:25:29.239"
"2","20200508006","0","SV-191015 4","INK","0","1","P125",\N,\N,"00030201","2020-05-20 16:25:29.239"
"3","20200508006","0","SV-191015 4","INK","0","3","020120002",\N,"1","00030201","2020-05-20 16:25:29.239"
"4","20200508006","0","SV-191015 4","INK","0","4","020120007",\N,"2","00030201","2020-05-20 16:25:29.239"
"5","20200508006","0","SV-191015 4","INK","0","5","020120014",\N,"3","00030201","2020-05-20 16:25:29.239"
"6","20200508006","0","SV-191015 4","INK","0","6","020120015",\N,"4","00030201","2020-05-20 16:25:29.239"
"7","20200508006","0","SV-191015 4","INK","0","7","020120002",\N,"5","00030201","2020-05-20 16:25:29.239"
"23","20200416004","0","SV-200318 1","PAPER","0","-1",\N,"1046001035003640570",\N,"00030201","2020-05-21 13:53:30.622"
"24","20200416004","0","SV-200318 1","INK","0","2","020120002",\N,"6","00030201","2020-05-21 13:53:30.622"
"25","20200416004","0","SV-200318 1","INK","0","3","020120007",\N,"7","00030201","2020-05-21 13:53:30.622"
"26","20200416004","0","SV-200318 1","INK","0","4","020120014",\N,"8","00030201","2020-05-21 13:53:30.622"
"27","20200416004","0","SV-200318 1","INK","0","5","P1375E",\N,\N,"00030201","2020-05-21 13:53:30.622"
"28","20200416004","0","SV-200318 1","INK","0","6","P488A",\N,\N,"00030201","2020-05-21 13:53:30.622"
"29","20200416004","0","SV-200318 1","INK","0","7","020120015",\N,"9","00030201","2020-05-21 13:53:30.622"
"42","20200406004","0","EV-200424 1","PAPER","0","-1",\N,"1937214035004650650",\N,"00030201","2020-05-21 14:00:03.702"
"43","20200406004","0","EV-200424 1","INK","0","1","020120002",\N,\N,"00030201","2020-05-21 14:00:03.702"
"44","20200406004","0","EV-200424 1","INK","0","3","020120007",\N,\N,"00030201","2020-05-21 14:00:03.702"
"45","20200406004","0","EV-200424 1","INK","0","4","020120014",\N,\N,"00030201","2020-05-21 14:00:03.702"
"46","20200406004","0","EV-200424 1","INK","0","5","그레이1",\N,\N,"00030201","2020-05-21 14:00:03.702"
"47","20200406004","0","EV-200424 1","INK","0","6","020120015",\N,\N,"00030201","2020-05-21 14:00:03.702"
"53","20190702017","0","LG-190624 1C","PAPER","0","-1",\N,"1042001014004900735",\N,"00030201","2020-06-02 11:09:18.927"
"54","20190702017","0","LG-190624 1C","INK","0","2","020120002",\N,\N,"00030201","2020-06-02 11:09:18.927"
"55","20190702017","0","LG-190624 1C","INK","0","3","020120007",\N,\N,"00030201","2020-06-02 11:09:18.927"
"56","20190702017","0","LG-190624 1C","INK","0","4","020120014",\N,\N,"00030201","2020-06-02 11:09:18.927"
"57","20190702017","0","LG-190624 1C","INK","0","5","020120015",\N,\N,"00030201","2020-06-02 11:09:18.927"
"58","20190702017","0","LG-190624 1C","INK","0","7","020120038",\N,\N,"00030201","2020-06-02 11:09:18.927"
"59","20190702007","0","LG-190626 1","PAPER","0","-1",\N,"1062001028004700940",\N,"00030201","2020-06-02 11:26:41.306"
"60","20190702007","0","LG-190626 1","INK","0","2","020120002",\N,"10","00030201","2020-06-02 11:26:41.306"
"61","20190702007","0","LG-190626 1","INK","0","3","020120007",\N,"11","00030201","2020-06-02 11:26:41.306"
"62","20190702007","0","LG-190626 1","INK","0","4","020120014",\N,"12","00030201","2020-06-02 11:26:41.306"
"63","20190702007","0","LG-190626 1","INK","0","5","020120015",\N,"13","00030201","2020-06-02 11:26:41.306"
"64","20190702007","0","LG-190626 1","INK","0","7","세트금",\N,\N,"00030201","2020-06-02 11:26:41.306"
"77","20190702006","0","LG-190624 1A","PAPER","0","-1",\N,"1042001014004750590",\N,"00030201","2020-06-02 11:44:37.919"
"78","20190702006","0","LG-190624 1A","INK","0","2","020120002",\N,"14","00030201","2020-06-02 11:44:37.919"
"79","20190702006","0","LG-190624 1A","INK","0","3","020120007",\N,"15","00030201","2020-06-02 11:44:37.919"
"80","20190702006","0","LG-190624 1A","INK","0","4","020120014",\N,"16","00030201","2020-06-02 11:44:37.919"
"81","20190702006","0","LG-190624 1A","INK","0","5","020120015",\N,"17","00030201","2020-06-02 11:44:37.919"
"94","20190702018","0","LG-190624 1B","PAPER","0","-1",\N,"1062001024005700690",\N,"00030201","2020-06-04 12:01:41.422"
"95","20190702018","0","LG-190624 1B","INK","0","2","020120002",\N,"18","00030201","2020-06-04 12:01:41.422"
"96","20190702018","0","LG-190624 1B","INK","0","3","020120007",\N,"19","00030201","2020-06-04 12:01:41.422"
"97","20190702018","0","LG-190624 1B","INK","0","4","020120014",\N,"20","00030201","2020-06-04 12:01:41.422"
"98","20190702018","0","LG-190624 1B","INK","0","5","020120015",\N,"21","00030201","2020-06-04 12:01:41.422"
"99","20190702018","0","LG-190624 1B","INK","0","7","020120038",\N,\N,"00030201","2020-06-04 12:01:41.422"
"112","20190401001","0","CT-191029 1","PAPER","0","-1",\N,"1062001024005401050",\N,"00030201","2020-06-04 13:08:58.769"
"113","20190401001","0","CT-191029 1","INK","0","2","020120002",\N,\N,"00030201","2020-06-04 13:08:58.769"
"114","20190401001","0","CT-191029 1","INK","0","3","020120007",\N,\N,"00030201","2020-06-04 13:08:58.769"
"115","20190401001","0","CT-191029 1","INK","0","4","020120014",\N,\N,"00030201","2020-06-04 13:08:58.769"
"116","20190401001","0","CT-191029 1","INK","0","5","DS2627",\N,\N,"00030201","2020-06-04 13:08:58.769"
"117","20190401001","0","CT-191029 1","INK","0","6","020120010",\N,\N,"00030201","2020-06-04 13:08:58.769"
"118","20190401001","0","CT-191029 1","INK","0","7","020120015",\N,\N,"00030201","2020-06-04 13:08:58.769"
"119","20190215002","0","NT-191213 3","PAPER","0","-1",\N,"1062001024005401050",\N,"00030201","2020-06-04 14:16:51.032"
"120","20190215002","0","NT-191213 3","INK","0","2","020120002",\N,\N,"00030201","2020-06-04 14:16:51.032"
"121","20190215002","0","NT-191213 3","INK","0","3","020120007",\N,\N,"00030201","2020-06-04 14:16:51.032"
"122","20190215002","0","NT-191213 3","INK","0","4","020120014",\N,\N,"00030201","2020-06-04 14:16:51.032"
"123","20190215002","0","NT-191213 3","INK","0","6","P8383",\N,\N,"00030201","2020-06-04 14:16:51.032"
"124","20190215002","0","NT-191213 3","INK","0","7","020120015",\N,\N,"00030201","2020-06-04 14:16:51.032"
"125","20190215008","0","CO-190109 3","PAPER","0","-1",\N,"1062001035004450610",\N,"00030201","2020-06-04 14:26:19.006"
"126","20190215008","0","CO-190109 3","INK","0","1","미색베다2",\N,\N,"00030201","2020-06-04 14:26:19.006"
"127","20190215008","0","CO-190109 3","INK","0","2","브라운1",\N,\N,"00030201","2020-06-04 14:26:19.006"
"128","20190215008","0","CO-190109 3","INK","0","3","020220015",\N,"22","00030201","2020-06-04 14:26:19.006"
"129","20190215008","0","CO-190109 3","INK","0","4","020220014",\N,"23","00030201","2020-06-04 14:26:19.006"
"130","20190215008","0","CO-190109 3","INK","0","5","P158E",\N,\N,"00030201","2020-06-04 14:26:19.006"
"131","20190215008","0","CO-190109 3","INK","0","6","P1385",\N,\N,"00030201","2020-06-04 14:26:19.006"
"132","20190215008","0","CO-190109 3","INK","0","7","020220016",\N,"24","00030201","2020-06-04 14:26:19.006"
"147","20200309006","0","CO-200205 1","PAPER","0","-1",\N,"1062001035006200900",\N,"00030201","2020-06-08 08:36:40.745"
"148","20200309006","0","CO-200205 1","INK","0","2","020220009",\N,\N,"00030201","2020-06-08 08:36:40.745"
