SPECTROID,WIDTH,HEIGHT,WEIGHT,PAPER_SPECR_01,PAPER_SPECR_02,PAPER_SPECR_03,PAPER_SPECR_04,PAPER_SPECR_05,PAPER_SPECR_06,PAPER_SPECR_07,PAPER_SPECR_08,PAPER_SPECR_09,PAPER_SPECR_10,PAPER_SPECR_11,PAPER_SPECR_12,PAPER_SPECR_13,PAPER_SPECR_14,PAPER_SPECR_15,PAPER_SPECR_16,PAPER_SPECR_17,PAPER_SPECR_18,PAPER_SPECR_19,PAPER_SPECR_20,PAPER_SPECR_21,PAPER_SPECR_22,PAPER_SPECR_23,PAPER_SPECR_24,PAPER_SPECR_25,PAPER_SPECR_26,PAPER_SPECR_27,PAPER_SPECR_28,PAPER_SPECR_29,PAPER_SPECR_30,PAPER_SPECR_31,PAPER_SPECD_01,PAPER_SPECD_02,PAPER_SPECD_03,PAPER_SPECD_04,PAPER_SPECD_05,PAPER_SPECD_06,PAPER_SPECD_07,PAPER_SPECD_08,PAPER_SPECD_09,PAPER_SPECD_10,PAPER_SPECD_11,PAPER_SPECD_12,PAPER_SPECD_13,PAPER_SPECD_14,PAPER_SPECD_15,PAPER_SPECD_16,PAPER_SPECD_17,PAPER_SPECD_18,PAPER_SPECD_19,PAPER_SPECD_20,PAPER_SPECD_21,PAPER_SPECD_22,PAPER_SPECD_23,PAPER_SPECD_24,PAPER_SPECD_25,PAPER_SPECD_26,PAPER_SPECD_27,PAPER_SPECD_28,PAPER_SPECD_29,PAPER_SPECD_30,PAPER_SPECD_31,LAB_L,LAB_A,LAB_B,20120002,20120007,20120010,20220008,20220009,20220016,20220025,20220015,20220013,20220056,20220014,20120020,20120015,20120021,20120014,20120023,20120037,20220004,20220005,20220021,20220022,20220023,20120019,35120006,35120005,35120003,20120008,20120017,20120009,20220017,20120022,20120028,20120001,20120006,20120005,20120027,20220018,20120035,20220010,35120018,DS244(주문?�크),20220012,20220027,20220006,20120054,20120036,20220007,20120062,20120004,20120040,20220024,20120039,20120059,35120002,35120029,123,SPECR_01,SPECR_02,SPECR_03,SPECR_04,SPECR_05,SPECR_06,SPECR_07,SPECR_08,SPECR_09,SPECR_10,SPECR_11,SPECR_12,SPECR_13,SPECR_14,SPECR_15,SPECR_16,SPECR_17,SPECR_18,SPECR_19,SPECR_20,SPECR_21,SPECR_22,SPECR_23,SPECR_24,SPECR_25,SPECR_26,SPECR_27,SPECR_28,SPECR_29,SPECR_30,SPECR_31
575,500,615,330,29.9808,55.5503,86.7836,98.9225,101.037,98.3128,95.6632,94.1401,93.1302,92.46,92.1933,91.8054,91.6508,91.5613,91.4937,90.946,90.0144,88.9827,88.7069,89.5108,90.2991,91.3121,92.0839,92.7594,93.3404,94.2964,94.5289,94.7156,94.6134,94.4999,94.3381,0.5232,0.2553,0.06156,0.004705,0.0,0.00739,0.01926,0.02623,0.03091,0.03405,0.0353,0.03713,0.03786,0.03829,0.03861,0.04122,0.04569,0.05069,0.05204,0.04812,0.04432,0.03947,0.03582,0.03264,0.02993,0.0255,0.02444,0.02358,0.02405,0.02457,0.02531,20.4042,0.064,-6.3888,0,0,0,0,1000,0,0,0,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0611,2.7659,3.0856,3.6789,4.055,4.18,4.3146,4.4895,4.531,4.4871,4.3029,4.0142,3.6515,3.3186,3.0205,2.8242,2.6444,2.5399,2.5461,2.6259,2.7002,2.8171,2.9612,3.21,3.5257,3.9456,4.3998,4.8997,5.3718,5.8687,6.3817
576,500,615,330,29.9808,55.5503,86.7836,98.9225,101.037,98.3128,95.6632,94.1401,93.1302,92.46,92.1933,91.8054,91.6508,91.5613,91.4937,90.946,90.0144,88.9827,88.7069,89.5108,90.2991,91.3121,92.0839,92.7594,93.3404,94.2964,94.5289,94.7156,94.6134,94.4999,94.3381,0.5232,0.2553,0.06156,0.004705,0.0,0.00739,0.01926,0.02623,0.03091,0.03405,0.0353,0.03713,0.03786,0.03829,0.03861,0.04122,0.04569,0.05069,0.05204,0.04812,0.04432,0.03947,0.03582,0.03264,0.02993,0.0255,0.02444,0.02358,0.02405,0.02457,0.02531,69.8824,24.4235,-18.3653,0,0,0,0,0,0,3000,68,0,0,0,0,0,0,0,0,0,0,0,0,320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.957,36.542,55.7496,63.6557,65.2121,62.5294,59.0808,55.6976,51.9266,48.2096,45.3828,41.8199,36.8723,34.0126,34.5249,33.6724,29.5575,25.5962,32.7205,48.1976,55.8605,57.9549,58.8218,59.758,60.963,63.2899,65.4074,66.4863,66.0357,64.8543,62.9032
577,500,615,330,29.9808,55.5503,86.7836,98.9225,101.037,98.3128,95.6632,94.1401,93.1302,92.46,92.1933,91.8054,91.6508,91.5613,91.4937,90.946,90.0144,88.9827,88.7069,89.5108,90.2991,91.3121,92.0839,92.7594,93.3404,94.2964,94.5289,94.7156,94.6134,94.4999,94.3381,0.5232,0.2553,0.06156,0.004705,0.0,0.00739,0.01926,0.02623,0.03091,0.03405,0.0353,0.03713,0.03786,0.03829,0.03861,0.04122,0.04569,0.05069,0.05204,0.04812,0.04432,0.03947,0.03582,0.03264,0.02993,0.0255,0.02444,0.02358,0.02405,0.02457,0.02531,69.1011,1.5505,-31.515,0,0,0,0,0,0,2000,20,400,0,0,0,0,0,0,0,0,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.5641,39.0989,62.1215,73.1149,77.0548,76.4512,74.2803,71.5253,67.9328,63.2024,58.1074,52.4383,46.5072,42.589,40.6616,38.0819,33.8102,30.481,31.3642,34.2394,34.6119,33.7328,33.3779,34.1941,36.1515,39.4853,42.8413,44.6622,44.403,43.1355,40.8242
715,445,700,300,14.7926,36.4266,74.1882,99.8801,106.34,102.82,98.007,95.1133,93.0328,91.1973,90.1331,89.3307,88.8736,88.4124,88.0801,87.7382,87.5446,87.6506,87.811,88.1877,88.5497,89.1584,90.0923,90.8753,91.4925,92.2868,92.3917,92.3162,92.2354,92.2964,92.4669,0.83,0.4386,0.1297,0.0005208,0.0,0.0,0.008743,0.02176,0.03136,0.04002,0.04512,0.049,0.05123,0.05349,0.05512,0.05681,0.05777,0.05725,0.05645,0.05459,0.05281,0.04984,0.04531,0.04155,0.03861,0.03486,0.03437,0.03472,0.0351,0.03482,0.03401,67.2975,14.6635,25.4061,0,0,0,0,60,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,140,700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.568,11.3041,16.6025,19.2758,20.0269,19.782,19.241,19.6033,21.5963,25.8628,31.4871,34.3381,33.2955,32.0811,32.5353,32.388,30.5608,28.8221,34.0157,44.8707,51.1759,53.7798,55.2628,56.5174,57.7008,59.1105,60.0982,60.8591,61.5063,62.2039,62.921
716,445,700,300,14.7926,36.4266,74.1882,99.8801,106.34,102.82,98.007,95.1133,93.0328,91.1973,90.1331,89.3307,88.8736,88.4124,88.0801,87.7382,87.5446,87.6506,87.811,88.1877,88.5497,89.1584,90.0923,90.8753,91.4925,92.2868,92.3917,92.3162,92.2354,92.2964,92.4669,0.83,0.4386,0.1297,0.0005208,0.0,0.0,0.008743,0.02176,0.03136,0.04002,0.04512,0.049,0.05123,0.05349,0.05512,0.05681,0.05777,0.05725,0.05645,0.05459,0.05281,0.04984,0.04531,0.04155,0.03861,0.03486,0.03437,0.03472,0.0351,0.03482,0.03401,32.1062,7.5023,-33.6212,0,0,0,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.2243,9.5912,15.5191,20.2201,22.7073,22.8895,21.7492,20.167,17.9401,15.0551,12.3991,10.1285,8.1777,7.0817,6.6561,6.27,5.6651,5.3447,5.499,5.8177,5.7915,5.5944,5.5128,5.7045,6.1279,6.8405,7.6179,8.0985,8.1059,7.8718,7.3653
717,445,700,300,14.7926,36.4266,74.1882,99.8801,106.34,102.82,98.007,95.1133,93.0328,91.1973,90.1331,89.3307,88.8736,88.4124,88.0801,87.7382,87.5446,87.6506,87.811,88.1877,88.5497,89.1584,90.0923,90.8753,91.4925,92.2868,92.3917,92.3162,92.2354,92.2964,92.4669,0.83,0.4386,0.1297,0.0005208,0.0,0.0,0.008743,0.02176,0.03136,0.04002,0.04512,0.049,0.05123,0.05349,0.05512,0.05681,0.05777,0.05725,0.05645,0.05459,0.05281,0.04984,0.04531,0.04155,0.03861,0.03486,0.03437,0.03472,0.0351,0.03482,0.03401,94.1869,0.7743,6.4275,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,8,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.7805,30.3816,59.2993,77.5959,82.221,80.1852,77.1302,76.1125,77.4049,80.4331,83.8359,85.1705,85.303,85.1451,84.8121,84.2767,84.1987,85.4374,86.6198,87.3753,87.8438,88.474,89.4141,90.2231,90.8416,91.6388,91.7712,91.6917,91.6207,91.6969,91.8887
718,445,700,300,14.7926,36.4266,74.1882,99.8801,106.34,102.82,98.007,95.1133,93.0328,91.1973,90.1331,89.3307,88.8736,88.4124,88.0801,87.7382,87.5446,87.6506,87.811,88.1877,88.5497,89.1584,90.0923,90.8753,91.4925,92.2868,92.3917,92.3162,92.2354,92.2964,92.4669,0.83,0.4386,0.1297,0.0005208,0.0,0.0,0.008743,0.02176,0.03136,0.04002,0.04512,0.049,0.05123,0.05349,0.05512,0.05681,0.05777,0.05725,0.05645,0.05459,0.05281,0.04984,0.04531,0.04155,0.03861,0.03486,0.03437,0.03472,0.0351,0.03482,0.03401,93.519,2.4009,3.2369,0,0,0,0,2,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,8,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.0742,31.1923,61.5718,81.2151,86.0294,83.6339,80.2925,78.7311,79.0714,80.7645,82.7556,83.2262,83.053,82.8923,82.5381,81.8993,81.8571,83.6535,85.3456,86.3298,86.884,87.5578,88.5226,89.3718,90.023,90.8655,91.0127,90.9882,90.9576,91.0637,91.2793
741,445,700,300,13.5093,35.2045,73.6649,100.253,107.069,103.518,98.6881,95.6891,93.6398,91.8241,90.6843,89.8848,89.4695,89.0083,88.6584,88.2535,88.1277,88.2014,88.4007,88.7712,89.1865,89.8655,90.8975,91.768,92.4273,93.3106,93.4841,93.4317,93.4094,93.5252,93.7474,0.8694,0.4534,0.1327,0.0,0.0,0.0,0.005735,0.01914,0.02854,0.03704,0.04247,0.04631,0.04832,0.05057,0.05228,0.05427,0.05489,0.05452,0.05354,0.05173,0.0497,0.04641,0.04145,0.03731,0.0342,0.03007,0.02926,0.02951,0.02961,0.02907,0.02804,66.9913,14.7481,25.4283,0,0,0,0,60,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,140,700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.4281,11.002,16.2673,19.0546,19.7951,19.4925,18.9731,19.2872,21.2674,25.5341,31.1329,33.9377,32.909,31.709,32.1555,31.9904,30.1932,28.4352,33.5698,44.3734,50.6473,53.2968,54.8114,56.0974,57.2944,58.7657,59.7859,60.6273,61.3428,62.0826,62.8152
742,445,700,300,13.5093,35.2045,73.6649,100.253,107.069,103.518,98.6881,95.6891,93.6398,91.8241,90.6843,89.8848,89.4695,89.0083,88.6584,88.2535,88.1277,88.2014,88.4007,88.7712,89.1865,89.8655,90.8975,91.768,92.4273,93.3106,93.4841,93.4317,93.4094,93.5252,93.7474,0.8694,0.4534,0.1327,0.0,0.0,0.0,0.005735,0.01914,0.02854,0.03704,0.04247,0.04631,0.04832,0.05057,0.05228,0.05427,0.05489,0.05452,0.05354,0.05173,0.0497,0.04641,0.04145,0.03731,0.0342,0.03007,0.02926,0.02951,0.02961,0.02907,0.02804,31.7243,7.6866,-33.5796,0,0,0,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0268,9.2492,15.1934,19.8712,22.3121,22.5123,21.3944,19.8039,17.5841,14.7458,12.1018,9.8768,7.9746,6.89,6.4741,6.1018,5.5194,5.202,5.3788,5.6856,5.663,5.4701,5.407,5.5971,6.0416,6.7422,7.509,7.9671,7.9934,7.7673,7.2581
743,445,700,300,13.5093,35.2045,73.6649,100.253,107.069,103.518,98.6881,95.6891,93.6398,91.8241,90.6843,89.8848,89.4695,89.0083,88.6584,88.2535,88.1277,88.2014,88.4007,88.7712,89.1865,89.8655,90.8975,91.768,92.4273,93.3106,93.4841,93.4317,93.4094,93.5252,93.7474,0.8694,0.4534,0.1327,0.0,0.0,0.0,0.005735,0.01914,0.02854,0.03704,0.04247,0.04631,0.04832,0.05057,0.05228,0.05427,0.05489,0.05452,0.05354,0.05173,0.0497,0.04641,0.04145,0.03731,0.0342,0.03007,0.02926,0.02951,0.02961,0.02907,0.02804,94.1881,0.8675,7.0925,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,8,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.7721,29.8887,58.381,76.663,81.3467,79.2146,76.25,75.1539,76.5292,79.9387,83.6211,85.1007,85.2681,85.1213,84.7424,84.132,84.0912,85.3828,86.6621,87.5356,88.0119,88.7772,89.8382,90.7216,91.3774,92.283,92.4593,92.4151,92.3458,92.4478,92.6886
