"IMXCODE","INKCODE","WEIGHT","REGDATE","REGUSER","EDITDATE","EDITUSER"
"002박색","020120002","30","2018/04/05 09:44:25","00030201","2018/04/13 15:25:33","12345678"
"002박색","020120007","10","2018/04/05 09:44:25","00030201","2018/04/13 15:25:33","12345678"
"002박색","020120010","1000","2018/04/05 09:44:25","00030201","2018/04/13 15:25:33","12345678"
"002박색1","020220008","200","2018/06/05 14:58:55","00030201",\N,\N
"002박색1","020220009","350","2018/06/05 14:58:55","00030201",\N,\N
"002박색1","020220016","1100","2018/06/05 14:58:55","00030201",\N,\N
"002박색1","020220025","2000","2018/06/05 14:58:55","00030201",\N,\N
"002박색10","020220008","58","2019/08/15 15:51:22","0114",\N,\N
"002박색10","020220009","4","2019/08/15 15:51:22","0114",\N,\N
"002박색10","020220016","250","2019/08/15 15:51:22","0114",\N,\N
"002박색10","020220025","1000","2019/08/15 15:51:22","0114",\N,\N
"002박색11","020220008","146","2019/09/16 17:56:34","0114",\N,\N
"002박색11","020220015","4","2019/09/16 17:56:34","0114",\N,\N
"002박색11","020220016","652","2019/09/16 17:56:34","0114",\N,\N
"002박색11","020220025","2000","2019/09/16 17:56:34","0114",\N,\N
"002박색12","020220008","100","2019/11/01 17:14:37","0114",\N,\N
"002박색12","020220016","800","2019/11/01 17:14:37","0114",\N,\N
"002박색12","020220025","2000","2019/11/01 17:14:37","0114",\N,\N
"002박색13","020220008","240","2019/12/18 09:36:42","0114",\N,\N
"002박색13","020220016","2000","2019/12/18 09:36:42","0114",\N,\N
"002박색13","020220025","2000","2019/12/18 09:36:42","0114",\N,\N
"002박색14","020220008","100","2020/01/13 10:54:16","0114",\N,\N
"002박색14","020220016","600","2020/01/13 10:54:16","0114",\N,\N
"002박색14","020220025","1000","2020/01/13 10:54:16","0114",\N,\N
"002박색15","020220008","100","2020/02/17 10:07:46","0114",\N,\N
"002박색15","020220016","500","2020/02/17 10:07:46","0114",\N,\N
"002박색15","020220025","2000","2020/02/17 10:07:46","0114",\N,\N
"002박색16","020220008","110","2020/02/25 09:34:15","0114",\N,\N
"002박색16","020220009","50","2020/02/25 09:34:15","0114",\N,\N
"002박색16","020220015","20","2020/02/25 09:34:15","0114",\N,\N
"002박색16","020220016","590","2020/02/25 09:34:15","0114",\N,\N
"002박색16","020220025","1000","2020/02/25 09:34:15","0114",\N,\N
"002박색17","020220008","60","2020/04/07 08:41:16","0114",\N,\N
"002박색17","020220009","4","2020/04/07 08:41:16","0114",\N,\N
"002박색17","020220016","250","2020/04/07 08:41:16","0114",\N,\N
"002박색17","020220025","1000","2020/04/07 08:41:16","0114",\N,\N
"002박색18","020220008","100","2020/06/08 08:53:04","0114",\N,\N
"002박색18","020220013","200","2020/06/08 08:53:04","0114",\N,\N
"002박색18","020220016","600","2020/06/08 08:53:04","0114",\N,\N
"002박색18","020220056","1000","2020/06/08 08:53:04","0114",\N,\N
"002박색2","020220008","210","2018/06/10 15:36:39","00030201",\N,\N
"002박색2","020220009","46","2018/06/10 15:36:39","00030201",\N,\N
"002박색2","020220016","1760","2018/06/10 15:36:39","00030201",\N,\N
"002박색2","020220025","1000","2018/06/10 15:36:39","00030201",\N,\N
"002박색3","020220008","200","2018/06/11 14:22:32","00030201",\N,\N
"002박색3","020220016","1000","2018/06/11 14:22:32","00030201",\N,\N
"002박색3","020220025","2000","2018/06/11 14:22:32","00030201",\N,\N
"002박색4","020220008","120","2018/06/11 17:25:12","00030201",\N,\N
"002박색4","020220009","25","2018/06/11 17:25:12","00030201",\N,\N
"002박색4","020220016","750","2018/06/11 17:25:12","00030201",\N,\N
"002박색4","020220025","1500","2018/06/11 17:25:12","00030201",\N,\N
"002박색5","020220008","80","2018/06/12 15:33:11","00030201",\N,\N
"002박색5","020220016","500","2018/06/12 15:33:11","00030201",\N,\N
"002박색5","020220025","1000","2018/06/12 15:33:11","00030201",\N,\N
"002박색6","020220008","240","2018/06/14 16:48:05","00030201",\N,\N
"002박색6","020220009","50","2018/06/14 16:48:05","00030201",\N,\N
"002박색6","020220016","1500","2018/06/14 16:48:05","00030201",\N,\N
"002박색6","020220025","3000","2018/06/14 16:48:05","00030201",\N,\N
"002박색7","020220008","240","2018/06/15 18:04:49","00030201",\N,\N
"002박색7","020220009","50","2018/06/15 18:04:49","00030201",\N,\N
"002박색7","020220016","1500","2018/06/15 18:04:49","00030201",\N,\N
"002박색7","020220025","3000","2018/06/15 18:04:49","00030201",\N,\N
"002박색8","020220008","116","2019/01/07 14:33:16","0114",\N,\N
"002박색8","020220009","10","2019/01/07 14:33:16","0114",\N,\N
"002박색8","020220016","700","2019/01/07 14:33:16","0114",\N,\N
"002박색8","020220025","2000","2019/01/07 14:33:16","0114",\N,\N
"002박색9","020220008","180","2019/05/03 15:20:06","0114",\N,\N
"002박색9","020220009","20","2019/05/03 15:20:06","0114",\N,\N
"002박색9","020220016","790","2019/05/03 15:20:06","0114",\N,\N
"002박색9","020220025","2000","2019/05/03 15:20:06","0114",\N,\N
"002박색물방울","020220008","52","2018/08/27 12:15:40","00030201",\N,\N
"002박색물방울","020220009","46","2018/08/27 12:15:40","00030201",\N,\N
"002박색물방울","020220016","630","2018/08/27 12:15:41","00030201",\N,\N
"002박색물방울","020220025","500","2018/08/27 12:15:40","00030201",\N,\N
"002박색후면","020220008","236","2018/04/11 15:53:18","00030201","2018/04/13 16:03:31","12345678"
"002박색후면","020220009","550","2018/04/11 15:53:18","00030201","2018/04/13 16:03:31","12345678"
"002박색후면","020220016","2440","2018/04/11 15:53:18","00030201","2018/04/13 16:03:31","12345678"
"003박색","020220009","24","2018/06/14 13:29:31","00030201",\N,\N
"003박색","020220014","64","2018/06/14 13:29:31","00030201",\N,\N
"003박색","020220016","330","2018/06/14 13:29:31","00030201",\N,\N
"003박색","020220025","1000","2018/06/14 13:29:31","00030201",\N,\N
"004박색","020120020","0","2018/04/05 09:58:30","00030201","2018/04/16 19:38:16","12345678"
"032레드","020220008","1000","2020/05/19 08:46:31","0114",\N,\N
"032레드","020220014","200","2020/05/19 08:46:31","0114",\N,\N
"032레드","020220016","200","2020/05/19 08:46:31","0114",\N,\N
"039박색","020220008","188","2018/08/27 12:17:05","00030201",\N,\N
"039박색","020220009","50","2018/08/27 12:17:05","00030201",\N,\N
"039박색","020220016","208","2018/08/27 12:17:05","00030201",\N,\N
"039박색","020220025","2000","2018/08/27 12:17:05","00030201",\N,\N
"120","020220008","20","2020/08/19 10:30:17","0114",\N,\N
"120","020220016","600","2020/08/19 10:30:17","0114",\N,\N
"120","020220056","1000","2020/08/19 10:30:17","0114",\N,\N
"1405B","020120002","58","2018/05/03 16:49:55","00030201",\N,\N
"1405B","020120015","340","2018/05/03 16:49:55","00030201",\N,\N
"1405B","020120021","54","2018/05/03 16:49:55","00030201",\N,\N
"1505E","020220008","626","2018/04/28 11:21:40","00030201",\N,\N
"1505E","020220016","1188","2018/04/28 11:21:40","00030201",\N,\N
"1505E","020220025","1000","2018/04/28 11:21:40","00030201",\N,\N
"1545C","020120002","926","2020/01/17 09:07:37","0114",\N,\N
"1545C","020120015","1500","2020/01/17 09:07:37","0114",\N,\N
"1545C","020120021","1000","2020/01/17 09:07:37","0114",\N,\N
"156H","020120014","16","2020/05/20 10:23:03","0114",\N,\N
"156H","020120015","596","2020/05/20 10:23:03","0114",\N,\N
"156H","020120023","308","2020/05/20 10:23:03","0114",\N,\N
"156H","020120037","1000","2020/05/20 10:23:03","0114",\N,\N
"15추석베다","020120002","20","2018/06/07 17:25:58","00030201",\N,\N
"15추석베다","020120007","120","2018/06/07 17:25:58","00030201",\N,\N
"15추석베다","020120014","24","2018/06/07 17:25:58","00030201",\N,\N
"15추석베다","020120015","170","2018/06/07 17:25:58","00030201",\N,\N
"15추석베다","020120037","3000","2018/06/07 17:25:58","00030201",\N,\N
"17감사비첩별색","020220008","42","2018/06/22 08:32:53","00030201",\N,\N
"17감사비첩별색","020220009","6","2018/06/22 08:32:53","00030201",\N,\N
"17감사비첩별색","020220016","230","2018/06/22 08:32:53","00030201",\N,\N
"17감사비첩별색","020220025","3000","2018/06/22 08:32:53","00030201",\N,\N
"17감사후별색","020220008","1000","2018/06/22 08:31:43","00030201",\N,\N
"17감사후별색","020220009","2706","2018/06/22 08:31:43","00030201",\N,\N
"17감사후별색","020220016","1420","2018/06/22 08:31:43","00030201",\N,\N
"17기품별색","020220009","1300","2018/06/22 11:47:03","00030201",\N,\N
"17기품별색","020220014","2440","2018/06/22 11:47:03","00030201",\N,\N
"17기품별색","020220016","198","2018/06/22 11:47:03","00030201",\N,\N
"17면세비첩별색","020220008","30","2018/06/22 15:15:01","00030201",\N,\N
"17면세비첩별색","020220009","20","2018/06/22 15:15:01","00030201",\N,\N
"17면세비첩별색","020220014","50","2018/06/22 15:15:01","00030201",\N,\N
"17면세비첩별색","020220016","310","2018/06/22 15:15:01","00030201",\N,\N
"17면세비첩별색","020220025","6000","2018/06/22 15:15:01","00030201",\N,\N
"17인양면세별색","020220009","780","2018/06/22 13:56:20","00030201",\N,\N
"17인양면세별색","020220014","250","2018/06/22 13:56:20","00030201",\N,\N
"17인양면세별색","020220016","710","2018/06/22 13:56:20","00030201",\N,\N
"18감사비첩별색","020220008","42","2018/06/22 08:38:33","00030201",\N,\N
"18감사비첩별색","020220009","2","2018/06/22 08:38:33","00030201",\N,\N
"18감사비첩별색","020220016","230","2018/06/22 08:38:33","00030201",\N,\N
"18감사비첩별색","020220025","3000","2018/06/22 08:38:33","00030201",\N,\N
"18감사자양별색","020220004","3000","2018/06/22 09:09:01","00030201",\N,\N
"18감사자양별색","020220005","650","2018/06/22 09:09:01","00030201",\N,\N
"18감사자양별색","020220009","2000","2018/06/22 09:09:01","00030201",\N,\N
"18군자별색","020220004","3000","2018/06/22 13:16:01","00030201",\N,\N
"18군자별색","020220005","650","2018/06/22 13:16:01","00030201",\N,\N
"18군자별색","020220009","2000","2018/06/22 13:16:00","00030201",\N,\N
"19HK베다별색","020220016","224","2019/10/24 17:15:50","0114",\N,\N
"19HK베다별색","020220021","50","2019/10/24 17:15:50","0114",\N,\N
"19HK베다별색","020220025","1000","2019/10/24 17:15:50","0114",\N,\N
"19기품별색","020220009","200","2018/11/12 08:54:39","0114",\N,\N
"19기품별색","020220014","1000","2018/11/12 08:54:39","0114",\N,\N
"19기품별색","020220016","570","2018/11/12 08:54:39","0114",\N,\N
"19기품별색1","020220009","220","2018/11/12 09:08:55","0114",\N,\N
"19기품별색1","020220014","1000","2018/11/12 09:08:55","0114",\N,\N
"19기품별색1","020220016","570","2018/11/12 09:08:55","0114",\N,\N
"19설궁중별색","020220009","20","2018/11/12 09:13:31","0114",\N,\N
"19설궁중별색","020220014","90","2018/11/12 09:13:31","0114",\N,\N
"19설궁중별색","020220016","1000","2018/11/12 09:13:31","0114",\N,\N
"19설베다","020220008","1000","2018/11/12 09:10:04","0114",\N,\N
"19설베다","020220009","3000","2018/11/12 09:10:04","0114",\N,\N
"19설베다","020220016","1300","2018/11/12 09:10:04","0114",\N,\N
"20)설궁중별색","020220008","1000","2019/11/27 14:28:19","0114",\N,\N
"20)설궁중별색","020220009","1450","2019/11/27 14:28:19","0114",\N,\N
"20)설궁중별색","020220016","1200","2019/11/27 14:28:19","0114",\N,\N
"20)설궁중별색2","020220008","1000","2019/12/08 11:28:43","0114",\N,\N
"20)설궁중별색2","020220009","1500","2019/12/08 11:28:43","0114",\N,\N
"20)설궁중별색2","020220016","1200","2019/12/08 11:28:43","0114",\N,\N
"20)설비첩별색","020220008","33","2019/12/31 15:18:35","0114","2019/12/31 15:18:42","0114"
"20)설비첩별색","020220013","6000","2019/11/27 18:50:39","0114","2019/12/31 15:18:42","0114"
"20)설비첩별색","020220016","125","2019/11/27 18:50:39","0114","2019/12/31 15:18:42","0114"
"20)설비첩별색","020220025","500","2019/11/27 18:50:39","0114","2019/12/31 15:18:42","0114"
"20)설비첩별색2","020220005","16","2019/11/27 18:51:51","0114",\N,\N
"20)설비첩별색2","020220009","2","2019/11/27 18:51:51","0114",\N,\N
"20)설비첩별색2","020220013","1500","2019/11/27 18:51:51","0114",\N,\N
"20)설비첩별색2","020220022","31","2019/11/27 18:51:51","0114",\N,\N
"20)설비첩별색2","020220023","104","2019/11/27 18:51:51","0114",\N,\N
"20)설진율별색","020220005","230","2019/11/22 17:14:02","0114",\N,\N
"20)설진율별색","020220009","750","2019/11/22 17:14:02","0114",\N,\N
"20)설진율별색","020220014","2540","2019/11/22 17:14:02","0114",\N,\N
"20)설진율별색","020220016","1100","2019/11/22 17:14:02","0114",\N,\N
"20)설진율별색2","020220005","274","2019/12/08 11:26:22","0114",\N,\N
"20)설진율별색2","020220009","890","2019/12/08 11:26:22","0114",\N,\N
"20)설진율별색2","020220014","2540","2019/12/08 11:26:22","0114",\N,\N
"20)설진율별색2","020220016","1000","2019/12/08 11:26:22","0114",\N,\N
"20감사비첩별색","020220008","21","2020/02/21 08:55:23","0114",\N,\N
"20감사비첩별색","020220009","19","2020/02/21 08:55:23","0114",\N,\N
"20감사비첩별색","020220014","9","2020/02/21 08:55:23","0114",\N,\N
"20감사비첩별색","020220016","245","2020/02/21 08:55:23","0114",\N,\N
"20감사비첩별색","020220025","3250","2020/02/21 08:55:23","0114",\N,\N
"20감사비첩별색1","020220008","66","2020/03/04 08:39:10","0114",\N,\N
"20감사비첩별색1","020220009","36","2020/03/04 08:39:10","0114",\N,\N
"20감사비첩별색1","020220015","8","2020/03/04 08:39:10","0114",\N,\N
"20감사비첩별색1","020220016","700","2020/03/04 08:39:10","0114",\N,\N
"20감사비첩별색1","020220025","5000","2020/03/04 08:39:10","0114",\N,\N
"20감사진율별색","020220009","200","2020/02/24 09:59:34","0114",\N,\N
"20감사진율별색","020220014","1900","2020/02/24 09:59:34","0114",\N,\N
"20감사진율별색","020220015","70","2020/02/24 09:59:34","0114",\N,\N
"20감사진율별색","020220016","1000","2020/02/24 09:59:34","0114",\N,\N
"2144A","020120002","30","2018/09/19 17:29:14","0114",\N,\N
"2144A","020120007","1000","2018/09/19 17:29:14","0114",\N,\N
"2144A","020120014","280","2018/09/19 17:29:14","0114",\N,\N
"2144A","020120015","60","2018/09/19 17:29:14","0114",\N,\N
"2144A","020120019","1100","2018/09/19 17:29:14","0114",\N,\N
"2144B","020220005","1000","2018/09/19 17:42:55","0114",\N,\N
"2144B","020220015","2000","2018/09/19 17:42:55","0114",\N,\N
"307박색색","020220008","3180","2019/02/20 14:32:33","0114",\N,\N
"307박색색","020220009","200","2019/02/20 14:32:33","0114",\N,\N
"307박색색","020220014","2000","2019/02/20 14:32:33","0114",\N,\N
"307박색색","020220016","260","2019/02/20 14:32:33","0114",\N,\N
"315","020120002","68","2020/08/19 10:40:21","0114",\N,\N
"315","020120007","1000","2020/08/19 10:40:21","0114",\N,\N
"315","020120015","30","2020/08/19 10:40:21","0114",\N,\N
"404박색","020220008","1700","2019/05/03 15:25:26","0114",\N,\N
"404박색","020220016","2000","2019/05/03 15:25:26","0114",\N,\N
